ward,parking_type,morespace
Parkdale-High Park,Widened Driveway,No
Etobicoke-Lakeshore,Widened Driveway,No
Trinity-Spadina,Boulevard Parking,No
Parkdale-High Park,Widened Driveway,No
Etobicoke-Lakeshore,Front Yard,No
Trinity-Spadina,Front Yard,No
Etobicoke Centre,Boulevard Parking,No
Etobicoke Centre,Front Yard,No
Etobicoke Centre,Front Yard,No
Etobicoke Centre,Widened Driveway,No
Eglinton-Lawrence,Front Yard,No
York West,Boulevard Parking,No
Etobicoke-Lakeshore,Front Yard,No
Etobicoke-Lakeshore,Front Yard,No
Parkdale-High Park,Widened Driveway,No
Etobicoke-Lakeshore,Front Yard,No
Parkdale-High Park,Front Yard,No
Trinity-Spadina,Front Yard,No
Etobicoke Centre,Widened Driveway,No
Etobicoke Centre,Front Yard,No
Eglinton-Lawrence,Front Yard,No
Etobicoke-Lakeshore,Front Yard,No
Etobicoke Centre,Boulevard Parking,No
York Centre,Widened Driveway,No
York Centre,Front Yard,No
Trinity-Spadina,Widened Driveway,No
Trinity-Spadina,Front Yard,No
Parkdale-High Park,Front Yard,No
York West,Boulevard Parking,No
York South-Weston,Widened Driveway,No
Parkdale-High Park,Front Yard,No
York West,Front Yard,No
Parkdale-High Park,Front Yard,No
Parkdale-High Park,Boulevard Parking,No
York Centre,Front Yard,No
York Centre,Front Yard,Yes
York South-Weston,Widened Driveway,No
Parkdale-High Park,Front Yard,No
York West,Boulevard Parking,No
York Centre,Front Yard,No
York Centre,Widened Driveway,No
Etobicoke Centre,Front Yard,No
Etobicoke-Lakeshore,Front Yard,No
York West,Widened Driveway,Yes
York West,Front Yard,No
York West,Widened Driveway,No
York South-Weston,Widened Driveway,No
Parkdale-High Park,Boulevard Parking,No
Etobicoke-Lakeshore,Widened Driveway,No
Etobicoke-Lakeshore,Front Yard,No
Etobicoke-Lakeshore,Boulevard Parking,No
York Centre,Front Yard,No
Etobicoke-Lakeshore,Widened Driveway,No
Etobicoke Centre,Front Yard,No
Eglinton-Lawrence,Front Yard,No
Eglinton-Lawrence,Widened Driveway,No
Etobicoke Centre,Front Yard,No
York West,Boulevard Parking,No
York West,Boulevard Parking,No
Etobicoke Centre,Front Yard,No
York West,Widened Driveway,No
Etobicoke Centre,Widened Driveway,No
Eglinton-Lawrence,Widened Driveway,No
York Centre,Front Yard,No
Etobicoke Centre,Front Yard,No
Etobicoke-Lakeshore,Front Yard,No
York Centre,Front Yard,No
Trinity-Spadina,Front Yard,No
York West,Widened Driveway,No
York West,Front Yard,No
Etobicoke-Lakeshore,Front Yard,No
Eglinton-Lawrence,Front Yard,No
Parkdale-High Park,Front Yard,No
York West,Front Yard,No
Etobicoke Centre,Front Yard,No
Trinity-Spadina,Widened Driveway,No
Eglinton-Lawrence,Boulevard Parking,No
Etobicoke-Lakeshore,Front Yard,No
Trinity-Spadina,Boulevard Parking,Yes
Parkdale-High Park,Front Yard,No
Etobicoke Centre,Front Yard,No
Eglinton-Lawrence,Boulevard Parking,No
Parkdale-High Park,Front Yard,No
Etobicoke Centre,Front Yard,No
York South-Weston,Widened Driveway,No
York West,Widened Driveway,No
York Centre,Front Yard,No
York West,Front Yard,No
York West,Widened Driveway,No
York Centre,Front Yard,No
Trinity-Spadina,Boulevard Parking,No
Eglinton-Lawrence,Front Yard,No
Trinity-Spadina,Front Yard,No
Etobicoke Centre,Front Yard,No
Etobicoke-Lakeshore,Widened Driveway,No
York West,Front Yard,No
Etobicoke Centre,Widened Driveway,No
York South-Weston,Widened Driveway,No
Eglinton-Lawrence,Boulevard Parking,No
Trinity-Spadina,Front Yard,No
Etobicoke Centre,Widened Driveway,No
Parkdale-High Park,Widened Driveway,No
Parkdale-High Park,Front Yard,No
Parkdale-High Park,Boulevard Parking,Yes
York West,Boulevard Parking,No
Etobicoke Centre,Front Yard,No
York Centre,Widened Driveway,No
Etobicoke Centre,Front Yard,No
Eglinton-Lawrence,Widened Driveway,No
York Centre,Front Yard,No
Parkdale-High Park,Front Yard,No
Trinity-Spadina,Front Yard,No
Parkdale-High Park,Widened Driveway,No
York West,Front Yard,No
Parkdale-High Park,Boulevard Parking,No
Etobicoke-Lakeshore,Front Yard,No
York West,Front Yard,No
Etobicoke-Lakeshore,Widened Driveway,No
Trinity-Spadina,Front Yard,No
York South-Weston,Widened Driveway,No
Etobicoke Centre,Widened Driveway,No
York Centre,Front Yard,No
Trinity-Spadina,Widened Driveway,No
York West,Boulevard Parking,No
York West,Boulevard Parking,Yes
York West,Boulevard Parking,No
Etobicoke Centre,Widened Driveway,No
Trinity-Spadina,Front Yard,No
Trinity-Spadina,Boulevard Parking,No
Trinity-Spadina,Widened Driveway,No
Trinity-Spadina,Front Yard,No
York West,Widened Driveway,No
Trinity-Spadina,Widened Driveway,No
York West,Front Yard,No
Trinity-Spadina,Front Yard,No
Etobicoke-Lakeshore,Widened Driveway,No
York Centre,Boulevard Parking,No
York South-Weston,Widened Driveway,No
York Centre,Boulevard Parking,No
Parkdale-High Park,Front Yard,No
Eglinton-Lawrence,Front Yard,No
York South-Weston,Widened Driveway,No
Etobicoke Centre,Front Yard,No
York South-Weston,Front Yard,No
Eglinton-Lawrence,Front Yard,No
York West,Boulevard Parking,No
Parkdale-High Park,Front Yard,No
Eglinton-Lawrence,Boulevard Parking,No
Etobicoke-Lakeshore,Widened Driveway,No
Parkdale-High Park,Boulevard Parking,Yes
Parkdale-High Park,Boulevard Parking,No
Eglinton-Lawrence,Boulevard Parking,No
York Centre,Boulevard Parking,No
Parkdale-High Park,Front Yard,No
York South-Weston,Front Yard,No
York Centre,Front Yard,No
Trinity-Spadina,Boulevard Parking,No
Parkdale-High Park,Front Yard,Yes
York West,Boulevard Parking,No
York Centre,Front Yard,No
York South-Weston,Widened Driveway,No
York Centre,Front Yard,No
Etobicoke Centre,Widened Driveway,No
York West,Widened Driveway,No
Parkdale-High Park,Boulevard Parking,No
York South-Weston,Boulevard Parking,No
Trinity-Spadina,Boulevard Parking,No
York South-Weston,Boulevard Parking,No
Etobicoke-Lakeshore,Front Yard,No
Etobicoke-Lakeshore,Front Yard,No
Trinity-Spadina,Boulevard Parking,No
Trinity-Spadina,Widened Driveway,No
Etobicoke-Lakeshore,Front Yard,No
Etobicoke Centre,Boulevard Parking,No
Trinity-Spadina,Widened Driveway,No
Parkdale-High Park,Widened Driveway,No
York South-Weston,Widened Driveway,No
Eglinton-Lawrence,Front Yard,No
York South-Weston,Front Yard,No
Eglinton-Lawrence,Boulevard Parking,No
York Centre,Widened Driveway,No
York South-Weston,Front Yard,No
Etobicoke Centre,Front Yard,No
York West,Boulevard Parking,No
York West,Widened Driveway,No
Etobicoke Centre,Boulevard Parking,No
