X_id,LICENSED_SPACES,PARKING_TYPE,STREETNAME,STREETNO,WARD
2478374,1,Front Yard,BALMORAL AVE,108,12
2478375,1,Front Yard,BALMORAL AVE,109,22
2478376,1,Front Yard,BALMORAL AVE,110,12
2478377,2,Front Yard,BALMORAL AVE,111,12
2478378,1,Front Yard,BALMORAL AVE,112,12
2478379,1,Front Yard,BALMORAL AVE,115,12
2478380,2,Front Yard,BALMORAL AVE,117,12
2478381,1,Front Yard,BALMORAL AVE,118,12
2478382,2,Front Yard,BALMORAL AVE,119,12
2478383,1,Front Yard,BALMORAL AVE,120,12
2478384,2,Front Yard,BALMORAL AVE,121,12
2478385,1,Front Yard,BALMORAL AVE,122,12
2478386,1,Front Yard,BALMORAL AVE,123,12
2478387,1,Front Yard,BALMORAL AVE,125,12
2478388,1,Front Yard,BALMORAL AVE,129,12
2478389,1,Front Yard,BALMORAL AVE,130,12
2478390,1,Front Yard,BALMORAL AVE,131,12
2478391,2,Front Yard,BALMORAL AVE,133,12
2478392,1,Front Yard,BALMORAL AVE,135,12
2478393,2,Front Yard,BALMORAL AVE,137,12
2478394,1,Front Yard,BALMORAL AVE,138,12
2478395,1,Front Yard,BALMORAL AVE,139,12
2478396,1,Front Yard,BALMORAL AVE,140,12
2478397,1,Front Yard,BALMORAL AVE,141,12
2478398,1,Front Yard,BALMORAL AVE,145,12
2478399,1,Front Yard,BALMORAL AVE,146,12
2478400,1,Front Yard,BALMORAL AVE,147,12
2478401,2,Widened Driveway,BALMORAL AVE,173,12
2478402,1,Widened Driveway,BALMORAL AVE,216,12
2478403,1,Front Yard,BALMORAL AVE,25,12
2478404,1,Front Yard,BALMORAL AVE,33,12
2478405,1,Front Yard,BALMORAL AVE,36,12
2478406,1,Front Yard,BALMORAL AVE,37,12
2478407,2,Widened Driveway,BALMORAL AVE,38,12
2478408,1,Front Yard,BALMORAL AVE,39,12
2478409,1,Widened Driveway,BALMORAL AVE,40,12
2478410,1,Front Yard,BALMORAL AVE,41,12
2478411,1,Widened Driveway,BALMORAL AVE,42,12
2478412,1,Front Yard,BALMORAL AVE,43,12
2478413,1,Front Yard,BALMORAL AVE,46,12
2478414,1,Front Yard,BALMORAL AVE,48,12
2478415,1,Front Yard,BALMORAL AVE,50,12
2478416,1,Front Yard,BALMORAL AVE,52,12
2478417,1,Front Yard,BALMORAL AVE,54,12
2478418,1,Front Yard,BALMORAL AVE,55,12
2478419,1,Front Yard,BALMORAL AVE,56,12
2478420,1,Front Yard,BALMORAL AVE,57,12
2478421,1,Front Yard,BALMORAL AVE,58,12
2478422,1,Front Yard,BALMORAL AVE,59,12
2478423,1,Front Yard,BALMORAL AVE,60,12
2478424,1,Front Yard,BALMORAL AVE,62,12
2478425,1,Front Yard,BALMORAL AVE,63,12
2478426,1,Front Yard,BALMORAL AVE,66,12
2478427,1,Front Yard,BALMORAL AVE,67,12
2478428,1,Front Yard,BALMORAL AVE,72,12
2478429,2,Front Yard,BALMORAL AVE,73,12
2478430,1,Front Yard,BALMORAL AVE,75,12
2478431,1,Front Yard,BALMORAL AVE,79,12
2478432,1,Front Yard,BALMORAL AVE,81,12
2478433,1,Widened Driveway,BALMORAL AVE,83,12
2478434,1,Front Yard,BALMORAL AVE,85,12
2478435,1,Front Yard,BALMORAL AVE,86,12
2478436,1,Front Yard,BALMORAL AVE,87,12
2478437,1,Front Yard,BALMORAL AVE,90,12
2478438,1,Front Yard,BALMORAL AVE,92,12
2478439,1,Front Yard,BALMORAL AVE,93,12
2478440,1,Front Yard,BALMORAL AVE,94,12
2478441,1,Front Yard,BALMORAL AVE,96,12
2478442,1,Front Yard,BALMORAL AVE,98,12
2478443,1,Front Yard,BALMORAL AVE,99,12
2478444,1,Front Yard,BALMY AVE,1,19
2478445,1,Front Yard,BALMY AVE,18,19
2478446,1,Front Yard,BALMY AVE,3,19
2478447,1,Front Yard,BALMY AVE,5,19
2478448,1,Front Yard,BALMY AVE,9,19
2478449,1,Front Yard,BALSAM AVE,126,19
2478450,1,Widened Driveway,BALSAM AVE,154,19
2478451,1,Widened Driveway,BALSAM AVE,156,19
2478452,1,Front Yard,BALSAM AVE,167,19
2478453,1,Front Yard,BALSAM AVE,169,19
